id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2485;-23,35;-48,77;Marcgravia;Marcgravia;polyantha;Delpino;polyantha;Delpino;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;win;p;0.67
2486;-23,35;-48,77;Mucuna;Mucuna;urens;(L.) Medik.;urens;(L.) Medik.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;bel;p;1
2486;-23,35;-48,77;Mucuna;Mucuna;urens;(L.) Medik.;urens;(L.) Medik.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;che;p;1
2486;-23,35;-48,77;Mucuna;Mucuna;urens;(L.) Medik.;urens;(L.) Medik.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;ros;p;1
2487;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;bel;p;0.67
2487;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;che;p;0.67
2487;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;sho;p;0.67
2487;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;win;p;0.67
2488;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus recifinus;(Thomas, 1901);Platyrrhinus recifinus;(Thomas, 1901);bat;bel;p;0.33
2488;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus recifinus;(Thomas, 1901);Platyrrhinus recifinus;(Thomas, 1901);bat;che;p;0.33
